206655,101677
206665,101753
206675,101741
206685,101791
206695,101765
206705,101847
206715,101814
206725,101884
206735,101850
206745,101914
206755,101833
206765,101834
206775,101678
206785,101606
206795,101448
206805,101387
206815,101235
206825,101202
206835,101048
206845,101014
206855,100918
206865,100934
206875,100839
206885,100904
206895,100855
206907,100908
206917,100878
206927,100908
206937,100869
206947,100921
206957,100857
206967,100920
206977,100890
206987,100962
206997,100947
207007,101041
207017,101020
207027,101095
207037,101057
207047,101137
207057,101124
207067,101201
207077,101161
207087,101195
207097,101182
207107,101229
207117,101175
207127,101240
207137,101195
207147,101241
207157,101199
207167,101261
207177,101234
207187,101279
207197,101245
207207,101314
207217,101275
207227,101310
207237,101306
207247,101374
207257,101343
207267,101402
207277,101393
207287,101479
207297,101459
207307,101509
207317,101489
207327,101553
207337,101528
207347,101583
207357,101573
207367,101644
207377,101620
207387,101686
207397,101653
207407,101740
207417,101728
207427,101783
207437,101741
207447,101755
207457,101651
207467,101601
207477,101439
207487,101358
207497,101192
207507,101111
207517,100951
207527,100876
207537,100735
207547,100715
207557,100618
207567,100608
207577,100521
207587,100538
207597,100477
207607,100536
207617,100507
207627,100573
207637,100541
207647,100579
207659,100574
207669,100657
207679,100621
207689,100690
207699,100681
207709,100720
207719,100692
207729,100763
207739,100713
207749,100803
207759,100767
207769,100804
207779,100776
207789,100819
207799,100791
207809,100854
207819,100820
207829,100872
207839,100839
207849,100892
207859,100859
207869,100919
207879,100879
207889,100940
207899,100917
207909,100969
207919,100980
207929,101035
207939,101037
207949,101072
207959,101064
207969,101108
207979,101084
207989,101133
207999,101121
208009,101187
208019,101182
208029,101231
208039,101242
208049,101306
208059,101305
208069,101377
208079,101366
208089,101437
208099,101418
208109,101463
208119,101424
208129,101389
208139,101248
208149,101157
208159,101010
208169,100897
208179,100792
208189,100679
208199,100577
208209,100521
208219,100405
208229,100373
208239,100309
208249,100294
208259,100243
208269,100242
208279,100221
208289,100228
208299,100238
208309,100264
208319,100239
208329,100277
208339,100299
208349,100344
208359,100389
208369,100446
208379,100484
208389,100521
208401,100539
208411,100577
208421,100574
208431,100598
208441,100590
208451,100610
208461,100607
208471,100618
208481,100616
208491,100635
208501,100643
208511,100647
208521,100651
208531,100684
208541,100720
208551,100759
208561,100758
208571,100789
208581,100805
208591,100825
208601,100845
208611,100883
208621,100892
208631,100930
208641,100950
208651,100979
208661,101010
208671,101051
208681,101073
208691,101090
208701,101078
208711,101127
208721,101116
208731,101148
208741,101176
208751,101209
208761,101253
208771,101293
208781,101311
208791,101349
208801,101328
208811,101254
208821,101118
208831,100998
208841,100859
208851,100743
208861,100626
208871,100527
208881,100446
208891,100371
208901,100294
208911,100240
208921,100199
208931,100157
208941,100135
208951,100109
208961,100124
208971,100135
208981,100161
208991,100142
209001,100172
